creativeID,adID,camgaignID,advertiserID,appID,appPlatform
28934,29217,3346,103,369,1
8144,4241,5698,152,128,2
40618,19633,3634,123,57,2
19878,18330,5385,541,19,2
5290,3268,323,76,278,2
25755,25096,1187,231,382,1
50436,14659,2547,441,363,1
33849,21977,3231,231,382,1
40622,10200,2606,439,32,2
13346,10490,2570,565,375,1
25746,20219,3677,324,7,2
47622,11888,872,184,10,2
1854,897,52,25,146,2
30437,14043,1847,479,427,1
7794,4873,4390,588,9,2
30366,13575,3404,345,372,1
39035,13750,4728,85,308,2
28193,14988,4895,494,382,1
27018,26037,1879,494,382,1
49498,28945,3345,500,112,2
31011,8441,6911,184,10,2
43423,16191,854,102,359,1
46841,5167,4729,242,110,2
23920,12350,848,324,7,2
20353,20807,4851,331,15,2
13192,6145,1759,52,35,2
25477,23391,6280,135,3,2
11746,8884,5873,337,379,1
18067,25905,744,470,21,2
42926,21103,4145,402,7,2
21625,19237,2358,57,397,1
22182,19488,5432,349,453,1
20435,26268,4035,268,373,1
7142,26008,5800,576,423,1
39221,9791,1525,649,441,1
35064,13006,5265,561,395,1
35192,4937,1313,554,403,1
16764,7386,4275,494,382,1
45067,30384,4728,85,308,2
14271,11440,4533,546,270,2
11112,17823,5007,184,10,2
863,2238,637,3,465,1
51044,12943,4081,320,399,1
13074,25403,851,383,359,1
24953,29138,3135,464,204,2
36131,25106,3653,379,384,1
34798,17836,1299,140,63,2
36471,4658,3890,345,372,1
30312,31198,2802,208,346,2
19929,21671,2513,88,133,2
39117,11450,2013,143,395,1
40028,29209,5571,439,357,1
15540,19505,973,170,441,1
37368,10259,4895,494,382,1
27454,27220,6828,68,89,2
5783,3129,596,20,336,2
42674,7905,3890,345,372,1
30041,10880,6150,242,110,2
9956,18810,5294,327,381,1
27070,16909,6693,508,372,1
48040,23961,4309,453,382,1
4444,1899,322,80,14,2
32130,18854,5100,605,9,2
7981,19618,4460,479,423,1
1740,1506,323,76,278,2
20594,26865,1591,268,13,2
20035,14870,5110,398,94,2
34596,8295,1484,449,441,1
49441,17713,2857,617,448,1
15701,23785,764,96,7,2
7783,14067,1343,565,375,1
18405,6294,2896,516,175,2
7777,27041,1276,316,374,1
40380,6378,5978,508,372,1
39724,12115,2194,286,395,1
47136,7163,6224,367,395,1
25162,16397,2089,552,104,2
32299,14953,3561,169,9,2
17578,20528,6494,588,9,2
30687,21356,5545,383,359,1
34601,6371,6097,452,375,1
32909,30373,4591,631,374,1
20307,5789,4535,614,259,2
38207,8285,5302,382,60,2
50377,4720,872,184,10,2
51554,15676,2360,565,375,1
17233,14950,13,57,397,1
15634,6536,6222,383,359,1
27366,24429,6341,639,32,2
37673,14340,4553,124,381,1
42286,26095,4521,268,373,1
46020,22443,2646,135,3,2
40784,20727,767,641,212,2
25757,4665,2723,382,60,2
27847,29669,2263,311,12,2
14944,9280,4482,381,3,2
41211,10014,1187,231,382,1
24412,30168,4722,649,441,1
38986,20556,3375,249,10,2
32184,20122,4151,378,398,1
8092,6169,2927,93,376,1
33623,24918,6813,500,112,2
1134,1843,117,80,14,2
49120,24952,6683,93,4,2
41387,29687,3670,622,433,1
22557,4395,4929,494,382,1
8696,10035,2427,554,403,1
48923,27795,2786,172,414,1
15187,4427,2699,554,403,1
5943,1638,440,3,465,1
48818,23233,5545,383,359,1
7516,11271,5835,244,411,1
46099,9760,6051,467,156,2
13781,10020,5948,17,176,2
8459,5532,2015,613,3,2
14280,11449,6630,170,441,1
48553,22878,5811,477,382,1
47954,17779,2505,640,395,1
1020,1240,596,20,336,2
1581,346,456,73,278,2
48882,15554,2264,184,10,2
19115,21154,3277,576,464,1
20820,30042,2633,131,374,1
11091,13137,5813,139,45,2
44240,24176,3869,554,403,1
27497,19482,4754,100,110,2
42201,5552,4650,494,382,1
7021,29921,5150,140,380,1
23518,31137,6255,448,90,2
1259,1535,685,80,14,2
41929,12382,1553,494,382,1
7430,4503,3877,214,400,1
26926,16020,5835,244,411,1
29593,25210,5878,73,261,2
38932,8724,4745,143,395,1
12921,16882,3108,184,10,2
17250,18461,4934,449,441,1
51424,28918,2824,97,147,2
9812,10611,1566,477,382,1
23038,23201,5182,369,69,2
50209,28081,3845,249,10,2
15689,9366,6819,135,3,2
665,3464,600,89,420,1
39837,17132,6606,383,359,1
8780,7234,3210,548,94,2
48673,30969,6688,588,9,2
15747,12915,6645,406,101,2
49935,26292,4666,334,368,1
49035,28077,5885,624,471,1
3671,2222,399,8,84,2
8362,18435,868,112,185,2
11359,27460,5322,286,71,2
34058,29304,6222,383,359,1
40713,31176,4108,416,63,2
15113,9990,6612,494,382,1
3093,86,503,3,465,1
47142,27398,3946,494,382,1
16749,17187,1008,345,372,1
7844,28184,6216,574,463,1
20386,18864,3110,93,4,2
22252,6162,1811,449,441,1
46729,20788,6693,508,372,1
34569,27256,2411,411,453,1
11448,19352,3435,165,478,1
33035,29164,4173,424,395,1
3035,38,403,63,360,1
11044,10054,4799,172,429,1
16042,5799,3627,223,361,1
12462,26847,3868,330,7,2
37179,26505,2775,230,385,1
20258,5614,2505,640,395,1
17647,10348,2623,99,108,2
32187,5860,2743,114,438,1
37973,21013,4078,136,203,2
32874,28958,4403,657,69,2
10981,19089,3148,172,424,1
3144,106,696,84,360,1
10427,9749,4957,191,355,1
43892,21029,3859,345,372,1
51550,12668,2319,561,395,1
22865,20933,4528,117,374,1
32321,4328,6897,175,401,1
23945,10781,6664,223,361,1
30145,29500,4967,231,382,1
50979,5318,2520,319,440,1
43327,21552,5899,93,376,1
3884,1072,653,35,356,1
